,title,hits,hits_grade
4604,艺术学院召开2018年学生管理暨班主任工作研讨会,187,15.583333333333334
4605,重庆大学2018年研究生心理健康讲座顺利举办,278,23.166666666666668
4606,中信大锰矿业有限责任公司李维健总经理一行来化学化工学院开展技术交流和人才招聘,207,17.25
4607,经管学院本科生二支部开展素质拓展活动,222,18.5
4608,重庆大学教师参加中国高等学校电工学研究会第十七届学术年会并作专题分享,232,19.333333333333332
4609,机械研究生新一届班主任选拔工作圆满完成,90,7.5
4610,博雅讲座：“面壁者”还是“破壁人”？——刘慈欣科幻小说中的乌托邦愿景,478,39.833333333333336
4611,光电工程学院本科2016级升学、就业动员会成功召开,200,16.666666666666668
4612,会议中心开展消防安全专项整治工作,373,31.083333333333332
4613,光电工程学院召开境外升学指导讲座,236,19.666666666666668
4614,后勤管理处举办心理健康专题讲座,200,16.666666666666668
4615,重庆大学党委书记周旬调研指导教育部深空探测联合研究中心工作,708,59.0
4616,资环学院二级党校成功举办2018年入党积极分子培训第二期开班仪式暨第一讲,160,13.333333333333334
4617,化学化工学院本科生一支部开展主题党日活动,156,13.0
4618,集腋成裘习党章，共谱华章随党音,193,16.083333333333332
4619,平安是最大的智慧,181,15.083333333333334
4620,校领导会见意大利多党议员考察团,1173,97.75
4621,国防大学政治学院邱圣宏教授为马克思主义学院师生讲党课,594,49.5
4622,重庆大学举办金融安全知识专题讲座,498,41.5
4623,2018数据管理与服务学术研讨会在重庆大学召开,223,18.583333333333332
4624,经管学院“经秋杯”体育节正式开幕,224,18.666666666666668
4625,经管学院举办“经秋杯”第一场篮球赛,212,17.666666666666668
4626,“新人·新学·塑新魂”主题团日活动,534,44.5
4627,化学化工学院各教工党支部召开党员大会进行换届选举,331,27.583333333333332
4628,第二十八届“中国新闻奖”评选揭晓，重庆大学新闻学院报送作品分获一、三等奖,217,18.083333333333332
4629,澳大利亚科廷大学副校长Alan Dench教授访问新闻学院,160,13.333333333333334
4630,建管学院2017级工程管理四班开展“学两会、谈家乡、讲变化、话未来”主题团日活动,157,13.083333333333334
4631,虎狼之战 谁与争锋——大数据与软件学院新生篮球赛初赛第三场,165,13.75
4632,数学与统计学院和大数据与软件学院合办“改革开放40周年”主题党团活动,168,14.0
4633,经管学院入党积极分子走进校史馆,215,17.916666666666668
4634,药学院组织全体师生开展消防演练,160,13.333333333333334
4635,“青知行”之“食品安全进社区”活动,320,26.666666666666668
4636,爱国奋斗，建功立业,169,14.083333333333334
4637,重庆大学“与时代共成长”演讲比赛复赛成功举行,241,20.083333333333332
4638,共叙同窗谊，互诉挚友情,236,19.666666666666668
4639,重庆大学在“创青春”全国大学生创业大赛首捧优胜杯,1027,85.58333333333333
4640,2018年建管学院新生辩论赛第一轮圆满完成,69,5.75
4641,18级建管三班与18级土木三班联合团日活动顺利举行,106,8.833333333333334
4642,“轻·远”,280,23.333333333333332
4643,重庆大学举办 “Girls Coding Day”女性编程日活动,423,35.25
4644,电气工程学院党委召开教工党支部新一届及上一届支委座谈交流会,154,12.833333333333334
4645,重庆大学-辛辛那提大学联合学院成功举办“专利挖掘实务-专题培训”讲座,277,23.083333333333332
4646,重庆大学与重庆航空达成战略合作,1674,100.0
4647,建管，建筑，机械学院联合举办“将改革进行到底,242,20.166666666666668
